BRAND_NAME,TYPE,NIC,TAR,CO,LEN,FLTR,PACK,STRENGTH,STYLE,OTHER
ACCORD,REGULAR,0.2,3,1,68,F,HARD,REGULAR,,
ACCORD,REGULAR,0.3,5,1,68,F,HARD,REGULAR,,
American,REGULAR,0.8,14,14,83,F,HARD,FULL FLAVOR,,
Austin,REGULAR,0.9,15,15,83,F,HARD,FULL FLAVOR,,
Austin,REGULAR,0.8,11,13,83,F,HARD,LIGHT,,
Austin,REGULAR,0.9,15,16,84,F,SOFT,FULL FLAVOR,,
Austin,REGULAR,0.7,10,12,84,F,SOFT,LIGHT,,
Austin,REGULAR,0.4,5,7,84,F,SOFT,ULTRA LIGHT,,
Austin,REGULAR,0.9,14,17,99,F,SOFT,FULL FLAVOR,,
Austin,REGULAR,0.8,10,11,99,F,SOFT,LIGHT,,
Austin,REGULAR,0.4,5,7,99,F,SOFT,ULTRA LIGHT,,
Barclay,REGULAR,0.3,4,4,85,F,HARD,ULTRA LIGHT,,
Barclay,REGULAR,0.3,4,4,85,F,SOFT,ULTRA LIGHT,,
Barclay,REGULAR,0.5,6,6,100,F,SOFT,ULTRA LIGHT,,
BASIC,REGULAR,1,16,17,83,F,HARD,FULL FLAVOR,,FSC
BASIC,REGULAR,0.9,14,14,83,F,HARD,FULL FLAVOR,,
BASIC,REGULAR,0.7,10,13,83,F,HARD,LIGHT,,FSC
BASIC,REGULAR,0.7,10,12,83,F,HARD,LIGHT,,
BASIC,REGULAR,0.4,6,9,83,F,HARD,ULTRA LIGHT,,FSC
BASIC,REGULAR,0.5,6,8,83,F,HARD,ULTRA LIGHT,,WASH
BASIC,REGULAR,0.4,5,7,83,F,HARD,ULTRA LIGHT,,
BASIC,REGULAR,1.3,21,14,83,NF,SOFT,REGULAR,NON-FLTR,FSC
BASIC,REGULAR,1.1,18,11,83,NF,SOFT,REGULAR,NON-FLTR,
BASIC,REGULAR,1,16,17,84,F,SOFT,FULL FLAVOR,,FSC
BASIC,REGULAR,0.9,15,14,84,F,SOFT,FULL FLAVOR,,
BASIC,REGULAR,0.7,12,14,84,F,SOFT,LIGHT,,FSC
BASIC,REGULAR,0.7,10,12,84,F,SOFT,LIGHT,,
BASIC,REGULAR,0.5,6,9,84,F,SOFT,ULTRA LIGHT,,FSC
BASIC,REGULAR,0.4,5,7,84,F,SOFT,ULTRA LIGHT,,
BASIC,REGULAR,1,15,18,98,F,HARD,FULL FLAVOR,,FSC
BASIC,REGULAR,0.9,14,15,98,F,HARD,FULL FLAVOR,,
BASIC,REGULAR,0.8,11,14,98,F,HARD,LIGHT,,FSC
BASIC,REGULAR,0.7,10,12,98,F,HARD,LIGHT,,
BASIC,REGULAR,0.4,5,8,98,F,HARD,ULTRA LIGHT,,FSC
BASIC,REGULAR,0.4,5,9,98,F,HARD,ULTRA LIGHT,,WASH
BASIC,REGULAR,0.4,5,7,98,F,HARD,ULTRA LIGHT,,
BASIC,REGULAR,1,15,18,99,F,SOFT,FULL FLAVOR,,FSC
BASIC,REGULAR,0.9,14,15,99,F,SOFT,FULL FLAVOR,,
BASIC,REGULAR,0.8,11,15,99,F,SOFT,LIGHT,,FSC
BASIC,REGULAR,0.7,10,12,99,F,SOFT,LIGHT,,
BASIC,REGULAR,0.5,5,8,99,F,SOFT,ULTRA LIGHT,,FSC
BASIC,REGULAR,0.4,5,7,99,F,SOFT,ULTRA LIGHT,,
BENSON A,REGULAR,1.1,15,13,84,F,HARD,REGULAR,DLX,FSC
BENSON A,REGULAR,1,13,11,84,F,HARD,REGULAR,DLX,
BENSON A,REGULAR,0.8,11,13,84,F,SOFT,REGULAR,M-FILTER,FSC
BENSON A,REGULAR,0.8,11,11,84,F,SOFT,REGULAR,M-FILTER,
BENSON A,REGULAR,0.8,11,12,98,F,HARD,LIGHT,,FSC
BENSON A,REGULAR,0.8,10,10,98,F,HARD,LIGHT,,
BENSON A,REGULAR,0.5,5,7,98,F,HARD,ULTRA LIGHT,DLX,FSC
BENSON A,REGULAR,0.5,5,6,98,F,HARD,ULTRA LIGHT,DLX,
BENSON A,REGULAR,1,12,13,98,F,HARD,REGULAR,,FSC
BENSON A,REGULAR,1.1,15,15,98,F,HARD,REGULAR,,PR
BENSON A,REGULAR,1,14,13,98,F,HARD,REGULAR,,
BENSON A,REGULAR,0.8,11,13,99,F,SOFT,LIGHT,,FSC
BENSON A,REGULAR,0.8,11,12,99,F,SOFT,LIGHT,,
BENSON A,REGULAR,1,13,13,99,F,SOFT,REGULAR,,FSC
BENSON A,REGULAR,1,14,14,99,F,SOFT,REGULAR,,
Best Value,REGULAR,0.8,14,15,83,F,HARD,FULL FLAVOR,,
Best Value,REGULAR,0.7,10,12,83,F,HARD,LIGHT,,
Best Value,REGULAR,0.9,15,16,84,F,SOFT,FULL FLAVOR,,
Best Value,REGULAR,0.7,10,12,84,F,SOFT,LIGHT,,
Best Value,REGULAR,0.4,4,6,84,F,SOFT,ULTRA LIGHT,,
Best Value,REGULAR,1.1,19,14,84,NF,SOFT,FULL FLAVOR,,
Best Value,REGULAR,0.9,14,16,98,F,HARD,FULL FLAVOR,,
Best Value,REGULAR,0.8,10,12,98,F,HARD,LIGHT,,
Best Value,REGULAR,0.9,13,16,99,F,SOFT,FULL FLAVOR,,
Best Value,REGULAR,0.8,10,12,99,F,SOFT,LIGHT,,
Best Value,REGULAR,0.4,5,7,99,F,SOFT,ULTRA LIGHT,,
Bonus Valu,REGULAR,0.9,15,15,83,F,HARD,FULL FLAVOR,,
Bonus Valu,REGULAR,0.8,11,13,83,F,HARD,LIGHT,,
Bonus Valu,REGULAR,0.9,15,16,84,F,SOFT,FULL FLAVOR,,
Bonus Valu,REGULAR,0.7,10,12,84,F,SOFT,LIGHT,,
Bonus Valu,REGULAR,0.4,4,6,84,F,SOFT,ULTRA LIGHT,,
Bonus Valu,REGULAR,1.2,20,14,84,NF,SOFT,FULL FLAVOR,,
Bonus Valu,REGULAR,0.9,14,17,99,F,SOFT,FULL FLAVOR,,
Bonus Valu,REGULAR,0.8,10,11,99,F,SOFT,LIGHT,,
Bonus Valu,REGULAR,0.4,5,7,99,F,SOFT,ULTRA LIGHT,,
BRISTOL,REGULAR,0.9,14,15,99,F,SOFT,FULL FLAVOR,,
BRONSON,REGULAR,0.9,14,18,85,F,HARD,FULL FLAVOR,.,.
BRONSON,REGULAR,1,14,19,85,F,HARD,FULL FLAVOR,.,.
BRONSON,REGULAR,0.8,10,13,85,F,HARD,LIGHT,.,.
BRONSON,REGULAR,0.8,10,14,85,F,HARD,LIGHT,.,.
BRONSON,REGULAR,0.9,14,18,85,F,SOFT,FULL FLAVOR,.,.
BRONSON,REGULAR,0.8,10,13,85,F,SOFT,LIGHT,.,.
BRONSON,REGULAR,0.5,5,7,85,F,SOFT,ULTRA LIGHT,.,.
BRONSON,REGULAR,1.5,20,14,85,NF,SOFT,FULL FLAVOR,.,.
BRONSON,REGULAR,1,15,20,100,F,SOFT,FULL FLAVOR,.,.
BRONSON,REGULAR,1,15,21,100,F,SOFT,FULL FLAVOR,.,.
BRONSON,REGULAR,0.8,10,15,100,F,SOFT,LIGHT,.,.
BRONSON,REGULAR,0.8,10,15,100,F,SOFT,LIGHT,.,.
BRONSON,REGULAR,0.5,5,7,100,F,SOFT,ULTRA LIGHT,.,.
BRONSON,REGULAR,0.5,5,7,100,F,SOFT,ULTRA LIGHT,.,.
BRONSON,REGULAR,0.5,6,6,100,F,SOFT,ULTRA LIGHT,.,.
CAMBRIDG,REGULAR,0.7,10,13,84,F,SOFT,LIGHT,,FSC
CAMBRIDG,REGULAR,0.7,9,11,84,F,SOFT,LIGHT,,
CAMBRIDG,REGULAR,0.7,10,12,98,F,HARD,LIGHT,,
CAMBRIDG,REGULAR,0.5,5,8,98,F,HARD,ULTRA LIGHT,,
CAMBRIDG,REGULAR,1,16,18,99,F,SOFT,FULL FLAVOR,,FSC
CAMBRIDG,REGULAR,0.9,14,15,99,F,SOFT,FULL FLAVOR,,
CAMBRIDG,REGULAR,0.8,12,15,99,F,SOFT,LIGHT,,FSC
CAMBRIDG,REGULAR,0.7,10,12,99,F,SOFT,LIGHT,,
CAMBRIDG,REGULAR,0.4,6,9,99,F,SOFT,ULTRA LIGHT,,FSC
CAMBRIDG,REGULAR,0.4,5,8,99,F,SOFT,ULTRA LIGHT,,
Camel,REGULAR,1.7,23,13,69,NF,SOFT,FULL FLAVOR,,
Camel,REGULAR,1.2,17,17,79,F,HARD,FULL FLAVOR,WIDES,
Camel,REGULAR,0.9,11,10,79,F,HARD,LIGHT,WIDES,
Camel,REGULAR,1.2,16,12,83,F,HARD,FULL FLAVOR,,
Camel,REGULAR,1.2,16,13,83,F,HARD,FULL FLAVOR,,
Camel,REGULAR,0.7,10,10,83,F,HARD,LIGHT,,SPECIAL
Camel,REGULAR,1,13,12,83,F,HARD,LIGHT,,T-ROYAL
Camel,REGULAR,0.7,9,10,83,F,HARD,LIGHT,,
Camel,REGULAR,0.7,9,10,83,F,HARD,LIGHT,,
Camel,REGULAR,0.8,10,10,83,F,HARD,LIGHT,,
Camel,REGULAR,0.8,10,10,83,F,HARD,LIGHT,,
Camel,REGULAR,0.4,5,6,83,F,HARD,ULTRA LIGHT,,
Camel,REGULAR,1.2,16,13,84,F,SOFT,FULL FLAVOR,,
Camel,REGULAR,0.9,11,10,84,F,SOFT,LIGHT,,
