brand,tar_mg,nicotine_mg,weight_g,,
Alpine,14.1,0.86,0.9853,13.6,Not light
Benson&Hedges,16,1.06,1.0938,16.6,Not light
BullDurham,29.8,2.03,1.165,23.5,Not light
CamelLights,8,0.67,0.928,10.2,Light
Carlton,4.1,0.4,0.9462,5.4,Not light
Chesterfield,15,1.04,0.8885,15,Not light
GoldenLights,8.8,0.76,1.0267,9,Light
Kent,12.4,0.95,0.9225,12.3,Not light
Kool,16.6,1.12,0.9372,16.3,Not light
L&M,14.9,1.02,0.8858,15.4,Not light
LarkLights,13.7,1.01,0.9643,13,Light
Marlboro,15.1,0.9,0.9316,14.4,Not light
Merit,7.8,0.57,0.9705,10,Not light
MultiFilter,11.4,0.78,1.124,10.2,Not light
NewportLights,9,0.74,0.8517,9.5,Light
Now,1,0.13,0.7851,1.5,Not light
OldGold,17,1.26,0.9186,18.5,Not light
PallMallLight,12.8,1.08,1.0395,12.6,Light
Raleigh,15.8,0.96,0.9573,17.5,Not light
SalemUltra,4.5,0.42,0.9106,4.9,Not light
Tareyton,14.5,1.01,1.007,15.9,Not light
True,7.3,0.61,0.9806,8.5,Not light
ViceroyRichLight,8.6,0.69,0.9693,10.6,Light
VirginiaSlims,15.2,1.02,0.9496,13.9,Not light
WinstonLights,12,0.82,1.1184,14.9,Light
