"pets","us_region","class_year","hair_color","campus","watch_sports","beyonce_love","fav_artist","social_network","relationship_status","num_siblings","num_languages","nights_drinking","pbj_or_n","tenting","countries_visited","first_kiss","hours_watching_television","perimeter","fav_campus_eatery","fb_visits_per_day","ac","condiment","vegetarian","voted_for_president","social_club","space_time","university_applications","pizza_consumption","sick","games_attended","pepsi_or_coke","fav_friend_character","continents_visited","game_of_thrones","netflix_binge_show","chipotle_order","fav_pokemon","first_tooth","fav_cheese","cat_or_dog","fav_late_night_food","fav_dessert_flavor","fav_off_campus_restaurant","vending_machine","multicultural","smell","parents_age","marketplace_worst_meal","best_book_turned_show","fav_fantasy_universe","hogwarts_house","shooters"
"1","California","Sophomore","Brown","Central","Other","meh","Taylor swift","Yikyak","it's complicated","1","2","2","Nutella","none","6","16","14","What even is the Perimeter ","Divinity Refectory","0","Yes","Ketchup","yes","no, I was not eligible due to age or citizenship status","Greek life","Time","22","0","0","2","Neither they're nasty","Rachel","2","House Stark","House of Cards","Burrito Bowl","Charizard","6","None of the above","Cat","Pitchforks","vanilla","Chipotle","No","Yes","Pine","56","powdered eggs","Game of Thrones","Harry Potter","Hufflepuff (because I'm good at something)","2"
"1","New England","Sophomore","Brown","West","I don't watch sports","hell yes","none of these","Instagram","no","1","2","2","Nutella","white","10","14","5","What even is the Perimeter ","Divinity Refectory","8","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","Greek life","Time","8","0","4","4","Coke","Rachel","2",NA,"House of Cards","Burrito Bowl","Jigglypuff","4","Brie","Dog","Cosmic","fruity","Parker and Otis","No","No","Clean Laundry","50","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"1","Southeast","Sophomore","Blonde","West","Basketball","yes","none of these","Facebook","it's complicated","1","2","0","Nutella","none","8","14","2","What even is the Perimeter ","Divinity Refectory","5","Yes","Honey Mustard","no","yes","Independent","Time","9","1","0","1","Coke","Monica","2",NA,"Gilmore Girls","Burrito Bowl","Jigglypuff","6","Cheddar","Dog","Pizza","vanilla","Parker and Otis","Sometimes","No","Clean Laundry","55","watery pasta","Hunger Games","Harry Potter","Ravenclaw (because I'm better than you)","0"
"1","Midwest","Sophomore","Blonde","Central","Other","hell yes","Taylor swift","Snapchat","no","2","3","4","All three","none","8","5","4","Inside","None of the above","20","Yes","Ketchup","no","yes","Greek life","Time","8","10","28","3","Coke","Rachel","3",NA,"House of Cards","Burrito","Jigglypuff","4","Cheddar","Dog","Cookout","vanilla","Chipotle","Sometimes","No","Pine","53","the giant roasted hog","Harry Potter","Lord of the Rings","Gryffindor (because I'm a badass)","10"
"1","Southeast","First-year","Brown","East","Basketball","hell yes","none of these","Snapchat","it's complicated","1","1","1","Peanut butter","unsure","11","12","1","What even is the Perimeter ","The Loop","100","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Greek life","Time","4","2","5","5","Pepsi","Rachel","3",NA,"House of Cards","Burrito","Charizard","3","None of the above","Dog","Cookout","vanilla","Cosmic","No","No","Clean Laundry","51","chocolate covered crickets","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","1"
"3","Southeast","First-year","Brown","East","Basketball","meh","none of these","Instagram","yes","3","1","2","Nutella","none","2","14","1","What even is the Perimeter ","Divinity Refectory","1","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Greek life","Time","1","1","10","2","Coke","Rachel","1",NA,"Gilmore Girls","Burrito","Charizard","6","Cheddar","Dog","Cookout","chocolate","Chipotle","No","No","Old Spice/Axe/Perfume","52","watery pasta","Twilight","Harry Potter","Gryffindor (because I'm a badass)","3"
NA,"New England","Junior","Black","West","Soccer","hell yes","Beyonce","Instagram","no","2","3","2","Peanut butter","unsure","10","15","20","What even is the Perimeter ","Edens Cafe (lol)","8","Yes","Sriracha","no","yes","Greek life","Time","3","1","3","2","Coke","Monica","4","House Stark","Friends","Burrito Bowl","Charizard","8","Goat","Dog","Pizza","vanilla","Harris Teeter's","Sometimes","Yes","Clean Laundry","50","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","2"
"1","Southwest","Sophomore","Black","West","Basketball","I don't care. #teamnicki","none of these","Youtube","no","1","2","1","Some combination of two","unsure","20","15","5","Outside","The Loop","10","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Outer space","11","1","1","0","Neither they're nasty","Chandler","5","House Targaryen","Friends","Burrito Bowl","Charizard","6","Brie","Cat","Pizza","chocolate","Chipotle","Sometimes","Yes","Bakery","50","powdered eggs","Lord of the Rings/Hobbit","Harry Potter","Ravenclaw (because I'm better than you)","1"
"4","Southeast","Junior","Blonde","West","Basketball","yes","none of these","Instagram","yes","3","2","2","Peanut butter","none","5","6","5","What even is the Perimeter ","Edens Cafe (lol)","2","Yes","Maple Syrup","no","yes","Athletic Team","Time","1","1","1","2","No preference","Rachel","3",NA,"Breaking Bad","Burrito Bowl","Blastoise","8","Pepperjack","Dog","Cookout","chocolate","Chipotle","No","No","Sharpie","57","chocolate covered crickets","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","4"
"1","California","Sophomore","Brown","West","Basketball","hell yes","none of these","Facebook","no","2","2","2","Some combination of two","none","10","12","6","What even is the Perimeter ","Other","10","Yes","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Greek life","Outer space","10","1","15","0","Coke","Chandler","4","House Targaryen","Gilmore Girls","Burrito Bowl","Jigglypuff",NA,"Goat","Dog","Cookout","vanilla","Cosmic","No","No","Bakery","55","chocolate covered crickets","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"0","Southwest","Junior","Black","West","I don't watch sports","no","none of these","I don't use social media","no","2","2","0","Nutella","none","3",NA,"8","What even is the Perimeter ","Blue Express","0","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","7","0","0","0","Coke",NA,"3",NA,NA,"Burrito Bowl",NA,"5","None of the above","I'm not an animal person","Pitchforks","chocolate","Chipotle","Sometimes","Yes","Clean Laundry","49","salad bar","Twilight",NA,NA,"0"
"1","Mid-Atlantic","Sophomore","Brown","West","Basketball","hell yes","none of these","Snapchat","no","3","2","3","Nutella","black","5","16","10","What even is the Perimeter ","Other","15","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","SLG","Time","3","3","2","30","Coke","Chandler","3","House Targaryen","Friends","Burrito Bowl","Charizard","6","Goat","Dog","Pitchforks","chocolate","Chipotle","Yes","No","Bakery","49","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"1","New England","Sophomore","Brown","Central","Football","hell yes","Beyonce","Instagram","no","1","2","3","Some combination of two","none","5","14","8","What even is the Perimeter ","Divinity Refectory","2","Yes","Maple Syrup","yes","no, I was eligible but chose not to vote","Greek life","Time","9","0","0","5","Neither they're nasty","Rachel","1",NA,"House of Cards","Salad","Jigglypuff","7","Feta","Dog","Jimmy John's","fruity","Parker and Otis","No","No","Clean Laundry","52","the giant roasted hog","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","4"
NA,"Southeast","Sophomore","Black","West","I don't watch sports","yes","Taylor swift","Facebook","no","1","2","0","Nutella","none","9",NA,"0","What even is the Perimeter ","The Loop","4","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","SLG","Time","11","0","0","0","Neither they're nasty","Phoebe","3",NA,"How I Met Your Mother","Burrito","Jigglypuff",NA,"Pepperjack","Dog","Cookout","vanilla","Harris Teeter's","No","Yes","Bakery","53.5","chocolate covered crickets","Hunger Games","Harry Potter","Hufflepuff (because I'm good at something)","0"
"0","California","Junior","Black","West","Other","hell yes","none of these","Instagram","no","1","3","1","All three","unsure","12","15","6","What even is the Perimeter ","None of the above","30","Yes","Soy Sauce","no","yes","Greek life","Time","13","3","4","1","Coke","Monica","5","House Targaryen","Friends","Burrito","Charizard","3","Brie","Dog","Cookout","vanilla","Satisfactions","Sometimes","Yes","Bakery","52","chocolate covered crickets","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","3"
"0","Southeast","Junior","Brown","West","Basketball","hell yes","Taylor swift","Instagram","no","1","2","2","Peanut butter","blue","17","17","5","All of the Above","The Loop","30","Yes","Sriracha","no","yes","Greek life","Outer space","1",".5","3","15","Neither they're nasty","Monica","3",NA,"Gilmore Girls","Burrito Bowl","Jigglypuff","7","Feta","Dog","Cookout","chocolate","Harris Teeter's","No","No","Clean Laundry","51.5","the giant roasted hog","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","2"
"1","Southeast","Sophomore","Black","East","Other","hell yes","Kanye West","Twitter","no","1","2","0","Jelly","unsure","10","1","1","All of the Above","Divinity Refectory","4","No","Sriracha","no","yes","SLG","Outer space","9","1","0","2","No preference","Joey","4",NA,"How I Met Your Mother","Burrito","Jigglypuff","7","None of the above","Dog","Cookout","chocolate","Chipotle","No","Yes","Clean Laundry","50","the giant roasted hog","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"1","Midwest","Junior","Brown","West","Soccer","hell yes","none of these","Facebook","no","0","2","0","Nutella","none","8","8","16","What even is the Perimeter ","Edens Cafe (lol)","10","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Time","9","2","0","0","Neither they're nasty","Chandler","5",NA,"Breaking Bad","Soft tacos","Jigglypuff","7","Pepperjack","Dog","Cookout","chocolate","Chipotle","Sometimes","Yes","Clean Laundry","46.5","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Southeast","First-year","Brown","East","Basketball","yes","none of these","Instagram","no","2","1","0","Peanut butter","unsure","1","15","2","What even is the Perimeter ","Divinity Refectory","7","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Greek life","Time","8","3","0","3","Coke","Phoebe","1","House Stark","Friends","Burrito Bowl","Jigglypuff","6","Brie","I'm not an animal person","Pizza","chocolate","Parker and Otis","No","No","Bakery","49","powdered eggs","Game of Thrones","Harry Potter","Ravenclaw (because I'm better than you)","1"
"0","Mid-Atlantic","First-year","Brown","East","Basketball","no","none of these","Facebook","yes","0","2","3","Some combination of two","blue","8","17","3","Outside","Blue Express","10","No","Ketchup","no","yes","Independent","Time","3","3","3","4","Coke","Gunther","3",NA,"Breaking Bad","Burrito Bowl","Rayquaza","4","None of the above","I'm not an animal person","Jimmy John's","sweet-and-salty","Parker and Otis","No","Yes","Clean Laundry","50","watery pasta","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","7"
"0","Midwest","Junior","Red","Off campus","Football","meh","none of these","Facebook","no","1","2","3","Some combination of two","none","20","18","1","What even is the Perimeter ","None of the above","10","Yes","Maple Syrup","no","yes","Greek life","Time","1","6","0","15","Coke","Rachel","3",NA,"Friends","Burrito Bowl","Blastoise","9","None of the above","Dog","Pizza","vanilla","Chipotle","Shhhhh!","No","Clean Laundry","65","salad bar","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"2","Southeast","First-year","Brown","East","Basketball","yes","none of these","Snapchat","no","3","1","4","Some combination of two","none","7","12","2","What even is the Perimeter ","The Loop","4","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Athletic Team","Time","1","0","14","6","Pepsi","Ross","7","House Tyrell","How I Met Your Mother","Burrito","Jigglypuff","4","Goat","Dog","Cosmic","vanilla","Chipotle","No","No","Clean Laundry","52","powdered eggs","Lord of the Rings/Hobbit","Harry Potter","Gryffindor (because I'm a badass)","6"
"1","Southeast","Junior","Brown","West","Basketball","meh","Taylor swift","Snapchat","no","1","1","3","Some combination of two","white","15","11","3","What even is the Perimeter ","The Loop","10","No","Ketchup","no","yes","Greek life","Time","3","3","2","4","Coke","Chandler","4","House Stark","Friends","Burrito Bowl","Charizard","5","Brie","Dog","Pizza","chocolate","Chipotle","No","No","Clean Laundry","46.5","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","2"
"1","Midwest","Sophomore","Black","West","Basketball","yes","none of these","Facebook","yes","1","3","1","Nutella","unsure","10","18","3","Inside","Edens Cafe (lol)","12","Yes","Ketchup","yes","no, I was not eligible due to age or citizenship status","SLG","Time","12","3","3","4","Coke","Phoebe","3",NA,"Gilmore Girls","Burrito Bowl","Jigglypuff","4","Pepperjack","Dog","Jimmy John's","chocolate","Chipotle","Sometimes","Yes","Pine","50",NA,"Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","1"
"2","Southeast","Junior","Brown","West","Basketball","yes","none of these","Instagram","yes","2","2","1","Nutella","none","6","13","3","What even is the Perimeter ","Edens Cafe (lol)","8","Yes","Maple Syrup","no","yes","Athletic Team","Time","8","0","2","1","Coke","Rachel","3","House Stark","House of Cards","Burrito Bowl","Jigglypuff","5","Feta","Dog","Pizza","chocolate","Chipotle","Sometimes","No","Pizza","46","powdered eggs","Game of Thrones","Game of Thrones","Gryffindor (because I'm a badass)","4"
