Date,Topic,Materials,Due
<b>UNIT 1:</b>,,,
"Wednesday, May 13",<b>RA 1</b> + Data Collection + Observational studies & experiments ,"<a href=""post/slides/deck0H.pdf"">Deck 0</a> + <a href=""post/slides/u1_deck1H.pdf"">Deck 1.1</a> + <a href=""post/app/app_Scientific_studies_press.pdf"">App 1.1</a>",
"Thursday, May 14",Lab 0: Introduction to R & RStudio + Lab 1: Introduction to data,"<a href=""post/labs/lab0.html"">Lab 0</a> + <a href=""post/labs/lab1.html"">Lab 1</a> ",
"Friday, May 15",Exploratory data analysis,"<a href=""post/slides/u1_deck2H.pdf"">Deck 1.2</a> + <a href=""post/app/app_Dist_num_var.pdf"">App 1.2</a> + <a href=""post/app/app_Boxplots.pdf"">App 1.3</a>",
"<i>Saturday, May 16</i>",,,
"<i>Sunday, May 17</i>",,,Lab 1
"Monday, May 18",Introduction to statistical inference,"<a href=""post/slides/u1_deck3H.pdf"">Deck 1.3</a> + <a href=""post/app/app_Rand_test.pdf"">App 1.4</a>",PS 1 + PA 1
<b>UNIT 2:</b>,,,
"Tuesday, May 19",<b>RA 2</b> + Probability & conditional probability,"<a href=""post/slides/u2_deck1H.pdf"">Deck 2.1</a> + <a href=""post/app/app_Prob_cond_prob.pdf"">App 2.1</a>",
"Wednesday, May 20",Bayes' theorem and Bayesian inference,"<a href=""post/slides/u2_deck2H.pdf"">Deck 2.2</a> + <a href=""post/app/app_Bayes_inf.pdf"">App 2.2</a>",
"Thursday, May 21",Normal + Binomial distribution,"<a href=""post/slides/u2_deck3H.pdf"">Deck 2.3</a> + <a href=""post/app/app_Normal_dist.pdf"">App 2.3</a> + <a href=""post/app/app_Binomial_dist.pdf"">App 2.4</a>",
"Friday, May 22",Lab 2: Probability,"<a href=""post/labs/lab2.html"">Lab 2</a>",
"<i>Saturday, May 23</i>",,,
"<i>Sunday, May 24</i>",,,Lab 2 + PA 2
"Monday, May 25",Memorial Day - no class,,PS 2
<b>UNIT 3:</b>,,,
"Tuesday, May 26",<b>RA 3</b> + Variability in estimates & CLT & confidence intervals,"<a href=""post/slides/u3_deck1H.pdf"">Deck 3.1</a> + <a href=""post/app/app_CI_single_mean.pdf"">App 3.1</a>",
,"<i>Note:</i> Today class starts at 10:45am, ends at 12:45pm",,
,Optional midterm review session 1pm - 2pm,,
